,id,type_de_bien,année,nb_de_pieces,surface,ville,prix
1355,2746,maison,1900.0,5,140, LIBOURNE,365000
1356,2747,appartement,2019.0,3,68, BORDEAUX,352000
1357,2748,maison,1999.0,5,118, LACANAU OCEAN                   ,470000
1358,2749,appartement,2019.0,4,93, PAREMPUYRE,360000
1359,2751,maison,1973.0,5,98, AMBARES ET LAGRAVE,328600
1360,2752,maison,1850.0,16,580, LIBOURNE,460000
1361,2753,appartement,1970.0,3,60, ARCACHON,180000
1362,2756,appartement,1975.0,1,20, ARCACHON,180200
1363,2759,appartement,2021.0,2,50, BORDEAUX,359000
1364,2760,maison,1994.0,6,170, LACANAU OCEAN                   ,550000
1365,2763,maison,1970.0,3,97, SOULAC SUR MER,233900
1366,2803,maison,1900.0,7,354, BOURG,388500
1367,2805,maison,1900.0,7,354, BOURG,388500
1368,2807,maison,1900.0,5,135, ST MACAIRE,220000
1369,2808,maison,1980.0,5,135, ARVEYRES,395000
1370,2810,appartement,2009.0,3,65, BELIN BELIET,135000
1371,2811,maison,1981.0,7,180, ANDERNOS LES BAINS,662000
1372,2812,appartement,2020.0,4,79, BORDEAUX,347000
1373,2813,appartement,1970.0,5,103, TALENCE,270000
1374,2815,maison,1940.0,5,115, BORDEAUX,625000
1375,2816,appartement,2009.0,2,60, BORDEAUX,278200
1376,2818,maison,2010.0,4,114, CUBZAC LES PONTS,279000
1377,2819,maison,1997.0,5,178, SOULAC SUR MER,462000
1378,2820,maison,1995.0,5,1135, LACANAU OCEAN                   ,728000
1379,2821,appartement,2020.0,3,64, BORDEAUX,390000
1380,2822,maison,1880.0,5,145, CAMBES,395000
1381,2842,maison,2010.0,4,114, CUBZAC LES PONTS,279000
1382,2845,maison,1940.0,3,102, BELIN BELIET,274000
1383,2846,maison,2021.0,4,86, LANTON,319000
1384,2847,maison,1999.0,7,235, FRONSAC,598500
1385,2848,maison,2020.0,4,86, LANTON,319000
1386,2852,maison,2019.0,5,140, MONTUSSAN,400000
1387,2854,appartement,1970.0,7,158, BORDEAUX,577000
1388,2857,appartement,1920.0,2,42, BORDEAUX,249000
1389,2858,appartement,1920.0,2,63, BORDEAUX,299000
1390,2859,appartement,1900.0,3,58, BORDEAUX,399900
1391,2860,maison,1998.0,3,71, LA TESTE DE BUCH,290000
1392,2867,maison,1988.0,4,115, BIGANOS,393750
1393,2868,maison,2006.0,6,123, BELIN BELIET,288000
1394,2869,maison,1900.0,4,95, BORDEAUX,395000
1395,2870,maison,1900.0,5,93, BORDEAUX,540800
1396,2871,maison,1992.0,2,37, CARCANS,163525
1397,2873,maison,1900.0,6,157, BORDEAUX,787000
1398,2879,maison,1970.0,8,149, AUDENGE,378000
1399,2880,maison,1900.0,5,100, BLAYE,84000
1400,2881,appartement,1990.0,3,69, BORDEAUX,375000
1401,2882,maison,1900.0,7,202, QUEYRAC,182900
1402,2889,maison,1900.0,5,90, BORDEAUX,577000
1403,2890,maison,1900.0,9,230, BORDEAUX,890000
1404,2893,maison,1982.0,6,130, MERIGNAC,621000
1405,2894,maison,1970.0,4,85, LE TAILLAN MEDOC,313000
1406,2896,maison,1932.0,5,170, LIBOURNE,640000
1407,2897,maison,1980.0,5,135, ST MEDARD EN JALLES,449000
1408,2898,maison,1850.0,6,229, LANGON,184000
1409,2899,maison,1970.0,7,160, ARCACHON,1050000
1410,2901,maison,1960.0,4,150, SOULAC SUR MER,418000
1411,2905,maison,1974.0,16,525, BORDEAUX,630000
1412,2906,maison,1984.0,5,140, LA TESTE DE BUCH,328500
1413,2907,appartement,2011.0,4,95, BORDEAUX,556000
1414,2912,maison,1978.0,4,139, GUJAN MESTRAS,499000
1415,2913,appartement,2006.0,3,82, BORDEAUX,395000
1416,2914,appartement,2007.0,4,81, BORDEAUX,389000
1417,2917,maison,1995.0,5,132, ST GERVAIS,290000
1418,2918,maison,2018.0,4,90, GALGON,243000
1419,2919,maison,1800.0,4,87, TALAIS,150900
1420,2924,appartement,2020.0,2,48, PESSAC,242000
1421,2925,appartement,1972.0,3,68, TALENCE,210000
1422,2926,appartement,2019.0,3,65, LORMONT,216000
1423,2929,maison,1850.0,4,52, CASTETS EN DORTHE,97000
1424,2932,maison,1850.0,7,240, LIBOURNE,559000
1425,2936,appartement,1900.0,2,40, BORDEAUX,140000
1426,2938,appartement,2013.0,2,54, BEGLES,196100
1427,2939,maison,1991.0,6,154, GRAYAN ET L HOPITAL,303300
1428,2940,maison,1900.0,7,195, BORDEAUX,992000
1429,2942,maison,1985.0,6,125, ANDERNOS LES BAINS,466000
1430,2943,appartement,2009.0,3,83, GUJAN MESTRAS,275000
1431,2946,maison,2008.0,3,72, BRANNE,149800
1432,2950,appartement,1920.0,1,23, BORDEAUX,239000
